Title,Price,Capacity,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage
"Dr Loosen Slate Hill Riesling 2021/22, Mosel","Ernst Loosen is a superstar of German winemaking. He took over his family winery in 1988 and immediately set out to gain international recognition for his wines, the Mosel region, and Riesling in general. He’s more than succeeded – today, Dr Loosen is one of Germany’s most highly regarded estates, and both Ernst and his wines have won numerous prestigious awards. This aromatic, medium-dry Riesling is an excellent demonstration of his skill. Discover flavours of lime, peach and apricot, plus a touch of sweetness balanced perfectly by a crisp acidity. Enjoy it with lightly spiced Asian-style dishes.",£11.99 per bottle,75CL,,Screwcap,6.4,per bottle,White,ABV 8.50%,Germany,Fresh & Elegant 
"Duckhorn Cabernet Sauvignon 2018/19, California","Duckhorn is a Napa Valley icon. Its winemaking team are taking on a new terrain in Sonoma. The best part? The delicious wine made there is a fraction of the usual asking price. It's a rich, ripe Cabernet Sauvignon, with flavours of black fruits, plum, cedar and spice. Decant for an hour and serve at room temperature with a rack of ribs.",£64.99 per bottle,75CL,"Merlot, Cabernet Franc",Natural Cork,10.9,per bottle,Red,ABV 14.50%,California,Savoury & Full Bodied
E. Guigal Châteauneuf-du-Pape 2017/18,"The Guigal family may have made their name with iconic Côte-Rôtie. But they also produce fantastic Châteauneuf-du-Pape from 45-year-old vines. And the critics can't get enough of it. This is a full-bodied, velvety and powerful wine, with notes of red fruits, plum, hazelnut and spice. Decant for an hour before serving at 16-18 degrees with cheese or cellar for up to 15 years.",£42.99 per bottle,75CL,Syrah,Natural Cork,11.3,per bottle,Red,ABV 15.00%,Rhône,Bold & Spicy
E. Guigal Condrieu 2020/21,"Guigal played a large part in the resurgence of Condrieu, the enclave famous for rich, exotic and perfumed Viognier with worldwide acclaim. They pay the same attention to detail today. And it really shows in this full-bodied wine. It has intense notes of apricot, peach and citrus and is excellent with fish. Serve at 12-13 degrees or age for five years.",£49.99 per bottle,75CL,,Natural Cork,11.3,per bottle,White,ABV 15.00%,Rhône,Ripe & Rounded
"E. Guigal Gigondas 2019/20, Rhône Valley","Gigondas is where you'll fine Châteauneuf-du-Pape-esque reds at great value, and E. Guigal is one of the finest producers in the Rhône Valley. Here, it presses Grenache, Syrah and Mourvèdre grapes and ages the wine for two years in oak. The result is full-bodied and intense, with powerful hints of red fruit, liquorice and oak and supple tannins. Jeb Dunnuck gave the 2016 vintage 93-95 points.",£23.99 per bottle,75CL,Syrah,Natural Cork,11.3,per bottle,Red,ABV 15.00%,Rhône,Bold & Spicy
"Eccelsa Vermentino 2021/22, Sardinia","Vermentino is the gem of the island of Sardinia. Because it's still relatively unknown, you can find great value with the grape. Like this expression from Eccelsa. It's made by a family whose wines top tables in the best Italian restaurants. It's intense and aromatic, with notes of summer fruits. Excellent with seafood.",£11.99 per bottle,75CL,,Natural Cork,10.1,per bottle,White,ABV 13.50%,Sardinia,Crisp & Zesty
"Eddystone Point Chardonnay 2019/20, Tasmania","Tasmania is fast becoming one of the most exciting Australian Chardonnay regions. And for good reason. This is made there by Penny Jones, who worked for ten vintages at the famous Petaluma winery. Juicy. Fresh. Textured. Discover notes of stone fruit, pear juice and lemon curd, with a delicious minerality. Pair with ravioli dressed in butter.",£17.99 per bottle,75CL,,Screwcap,10.1,per bottle,White,ABV 13.50%,Tasmania,Rich & Toasty
"Edouard Delaunay 'Septembre' Chardonnay 2019/20, Burgundy","Maison Edouard Delaunay has a rich history dating back to 1893. Its wines were the choice of The Orient Express and the finest restaurants in France. A century later, it fell out of family hands. That was until Edouard’s great-grandson, Laurent, bought it back. He re-established his deep-rooted family connections with the best local grape-growers, and has more than succeeded in restoring the name of Edouard Delaunay to its former glory. This great-value, barrel-aged Chardonnay is an fantastic example of his efforts. This is opulent and buttery white Burgundy. Discover expressive notes of citrus, white chocolate and hazelnut. Enjoy it with an equally indulgent lobster dish.

This wine scored 92 points from Decanter for the 2020 vintage.",£15.99 per bottle,75CL,,Natural Cork,9.8,per bottle,White,ABV 13.00%,Burgundy,Ripe & Rounded
"El Aviador Tempranillo 2021/22, Spain","Tempranillo is the Spanish grape variety par excellence and it is grown widely throughout the region of Castilla y Leon, having different local names like Tinta de Toro and Tinta del País. Aromas of red and black berries,with a hint of liquorice. Concentrated flavours of black fruits with a perfect balance between fruit and tannins. Round, soft and persistent. Lamb Tagine, Mediterranean mixed platter or mild cheeses.",£8.99 per bottle,75CL,,Natural Cork,10.1,per bottle,Red,ABV 13.50%,Castilla Y León,Smooth & Mellow
"Emiliana 'Elemental' Organic Gran Reserva Cabernet 2019/21, Maipo Valley","Emiliana were voted Winery of the Year 2016 by Wines of Chile. They're leading the way with delicious organic wines at great value. This Maipo Valley Cabernet is a case in point. It's velvet-smooth and intensely flavoured, with flavours of blackcurrant, strawberry and chocolate.",£12.99 per bottle,75CL,,Natural Cork,10.1,per bottle,Red,ABV 13.50%,Central Valley,Bold & Spicy
"Ernesto Catena Vineyards ‘Ánimal’ Organic Malbec 2021/22, Mendoza","Ernesto Catena is the son of Nicolás Catena Zapata, the man that put Argentina on the fine-wine map. He's quickly paving his own unconventional way. He makes delicious organic Malbec in the foothills of the Andes, ferments it in concrete eggs and keeps each step of the process in line with the lunar cycle. You can taste the attention to detail in indulgent notes of plum, blackberry, chocolate and vanilla. Its full fruity flavour and tannins make it ideal for your next steak dinner.",£14.99 per bottle,75CL,,Synthetic Cork,10.1,per bottle,Red,ABV 13.50%,Mendoza,Rich & Juicy
"Errazuriz Estate Series Pinot Noir 2021/22, Aconcagua Valley","Don Maximiano Errázuriz founded Viña Errázuriz in 1870 in the Valle de Aconcagua, 100km north of the capital city, Santiago. He realised that the cool, rainy winters and hot, dry summers combined with Pacific breezes to make it an ideal area to grow grapes. He was the first to plant French varieties there – and it's safe to say his gamble paid off. Today, Errazuriz is regarded as a world-class winery with an array of awards in their trophy cabinet. This smooth and juicy Pinot Noir has aromatic floral notes and fresh flavours of cherry, strawberry with hints of toasty oak. Its silky mouthfeel makes it an excellent partner for roast pork or fillet of salmon. In 2022, this wine won an IWC award for the 2021 vintage.",£9.99 per bottle,75CL,,Screwcap,10.1,per bottle,Red,ABV 13.50%,Aconcagua,Light & Elegant
"Errazuriz Wild Ferment Chardonnay 2020/21, Casablanca Valley","With grapes taken from 'La Escultura Estate,' where cool sea breezes help preserve the freshness in the grapes. Naturally occurring yeast in the grape skins are used instead of cultivated yeasts, along with subtle use of 10% French oak. This wine is unbelievably well balanced, with subtle tropical stone fruit in the form of apricot and peach mingling with subtle oak characters and a rich creaminess. Enjoy this wine over the next two years to allow further integration of oak and fruit, and enjoy with roast chicken and seafood dishes.",£13.99 per bottle,75CL,,Screwcap,9.8,per bottle,White,ABV 13.00%,Aconcagua,Rich & Toasty
"Escarpment 'Kupe' Pinot Noir 2021, Martinborough","Escarpment was born from winemaker Larry McKenna's passion for the Martinborough wine region. After years of extensive research, he set up his own winery. He believes that the area is ideal for growing Pinot Noir. In his rendition of this delicate grape, expect fresh flavours and soft tannins. Wonderful with roast chicken.",£46.99 per bottle,75CL,,Screwcap,10.5,per bottle,Red,ABV 14.00%,Martinborough,Light & Elegant
"Escarpment Pinot Noir 2017, Martinborough","Larry McKenna has been celebrated in the New Zealand Wine Hall of Fame and is a Fellow of the New Zealand Wine Growers. He's a specialist in Pinot Noir and is even known affectionately as Larry McPinot by fans of his fantastic reds. Taste what all the fuss is about in this perfumed, delicate wine, with elegantly textured tannins and supple red and black fruits. It will cellar for up to 10 years but also drink well now with crispy pork belly.",£27.99 per bottle,75CL,,Screwcap,10.5,per bottle,Red,ABV 14.00%,Martinborough,Light & Elegant
"Forrest Wines 'The Doctors'' Sauvignon Blanc 2022, Marlborough","In 1988, John and Brigid Forrest left behind careers in molecular biology and medicine and founded Forrest Wines. They brought their innovative approach to The Doctors' range, which is a series of lower-alcohol wines that don't compromise on flavour. This 9.5% ABV Sauvignon Blanc is sustainably grown and brings plenty of that classic Marlborough charm. Expect notes of gooseberry, passionfruit and citrus. It's bold and tropical, with a refreshing acidity that's great with goat's cheese.",£11.99 per bottle,75CL,,Screwcap,7.1,per bottle,White,ABV 9.50%,Marlborough,Crisp & Zesty
"Georges Vigouroux 'Le Grand Retour' Malbec 2018/20, Cahors","Did you know that Malbec began in Europe? It's often celebrated as an Argentinian grape variety. But it all began in the south-west of France. To be precise, Cahors. Cahors won Wine Enthusiast's Wine Region of the Year in 2017. And that was around the time when Georges Vigouroux decided to honour the return of Malbec in its birthplace – creating Le Grand Retour. This is exceptionally fruity and rich, with flavours of raspberry, blackcurrant and blackberry, and ripe tannins. Try it with roast pork.",£11.99 per bottle,75CL,,Natural Cork,10.1,per bottle,Red,ABV 13.50%,Languedoc-Roussillon,Smooth & Mellow
"Gérard Bertrand Clos d'Ora Organic 2017, Minervois La Livinière","Gérard Bertrand is a former professional rugby union player who played for the French national team. After he retired, he became one of the most recognisable names in Languedoc winemaking. This is his flagship wine that's made in one of the region's very best spots with organic and biodynamic practices. You'll find it on the wine lists of some of the world's most exclusive restaurants. For good reason. It's robust and powerful yet remarkably elegant, with flavours of red cherries, dark chocolate and tobacco. Decant for an hour before serving now or age for up to 20 years. Decanter's Georgina Hindle gave this 2017 vintage 94 points.",£188.99 per bottle,75CL,"Carignan, Grenache, Mourvèdre",Natural Cork,11.6,per bottle,Red,ABV 15.50%,Languedoc-Roussillon,Bold & Spicy
"Gérard Bertrand 'Clos du Temple' Organic Rosé 2019, Languedoc","Gérard Bertrand was a professional rugby player who, later in life, took over the family winemaking estate. He now manages several sites around the South of France, and Clos du Temple is producing some of his finest rosé. The vines on this 8-hectare spot are farmed with biodynamic, organic methods to let the purity of the fruit shine through. The grapes are picked just as the sun rises over the estate to further preserve this fresh flavour. The result is a layered and long-lasting rosé with aromas of ripe apricot, white peach and pink pepper, and a signature minerality. Enjoy with baked salmon or cellar for another 10 to 15 years.",£188.99 per bottle,75CL,"Grenache, Mourvèdre, Syrah, Viognier",Natural Cork,10.9,per bottle,Rosé,ABV 14.50%,Languedoc-Roussillon,Delicate & Dry
"Grant Burge 'Filsell' Shiraz 2017/19, Barossa","A deep, intense Shiraz from Grant Burge, this will show you the perfumes and powerful flavours that only come from the Filsell vineyard. It's the best of the Barossa, and will make the perfect partner to a premium cut of well aged beef.

In 2022, this wine won an IWC award for the 2018 vintage.",£29.99 per bottle,75CL,,Screwcap,10.9,per bottle,Red,ABV 14.50%,South Australia,Bold & Spicy
"Guidalberto 2020/21 Tenuta San Guido, IGT Toscana","This wine is a blend of Cabernet Sauvignon and Merlot, and is the 'little brother' to the winery's celebrated Sassicaia, from three vineyard sites surrounding Bolgheri. The varieties are vinified separately before blending and maturation in French and American oak. The wine has an intense violet colour and a soft and rounded fruit profile, and can be enjoyed immediately or over the next 3-4 years.",£49.99 per bottle,75CL,Merlot,Natural Cork,10.5,per bottle,Red,ABV 14.00%,Tuscany,Savoury & Full Bodied
"Hambledon Classic Cuvee, Hampshire","Hambledon is the UK's oldest commercial vineyard, and its head winemaker, Hervé Jestin, was cellarmaster at the Duval Leroy Champagne house for over 20 years. The Classic Cuvée, a blend of Chardonnay, Pinot Noir & Pinot Meunier, once famously beat Pol Roger, Veuve Clicquot and Taittinger in a blind tasting. It has notes of fresh bread, greengage, red plums and dessert apples and a precise acidity.",£38.99 per bottle,75CL,"Pinot Noir, Pinot Meunier",Natural Cork,9,per bottle,White,ABV 12.00%,Surrey,Crisp & Fruity
Harvey's Bristol Cream,"Pale Cream and Cream sherries are usually made from sweetened Oloroso's, but Harveys Bristol Cream is a blend of Fino, Amontillado, Oloroso and Pedro Ximénez wines and is of superiour quality.   Amber-gold in colour, medium-sweet, displaying smokey oranges, vanilla, toffee, caramel, nuts and raisins. Viscous and full, but with a superb balance and long finish. Good as an aperitif, as an after dinner drink, or with cheesecake. Drink chilled or over ice.

In 2022, this wine won an IWC award.",£13.99 per bottle,75CL,,Screwcap,13.1,per bottle,,ABV 17.50%,,
Hospices de Beaujeu Bourgogne Gamay 2020/21,In existence since 1240 the Hospice de Beaujeu have received numerous donation of land over the years and now own 80.5 hectares of vineyards. This Gamay has a classic Burgundian character with lots of fruit flavours and woody notes.,£14.99 per bottle,75CL,,Natural Cork,9.8,per bottle,Red,ABV 13.00%,Burgundy,Light & Elegant
"Indomita 'Gran Reserva' Pinot Noir 2021/22, Casblanca Valley","Chile's Casbalanca Valley has the perfect climate for ripening the infamously tricky Pinot Noir grape. A long, warm ripening season fills the fruit with delicious juice. You can taste the benefits in this luscious wine's flavours of strawberry, coffee and vanilla. Pair a glass of this with thinly-sliced Jamón ibérico.",£11.99 per bottle,75CL,,Natural Cork,10.5,per bottle,Red,ABV 14.00%,Aconcagua,Light & Elegant
"J. Moreau et Fils ‘Le Sans Bois' Chardonnay 2020/21, France","J Moreau began in 1814 and are one of the oldest names in Chablis. They've since branched out, working with dozens of growers in over a hundred different sites to respond to yearly changes in weather, source the best grapes and bring you great value. This is made by winemaker Lucie Depuydt from Chardonnay grapes grown on different mineral soils throughout France. And to great result. It's intense and bright, with aromas of jasmine, lemon and pear. Try it with grilled fish, white meat or seafood.",£11.99 per bottle,75CL,,Screwcap,9,per bottle,White,ABV 12.00%,Other France,Fresh & Elegant 
Paul Jaboulet Aîné 'Les Cedres' Organic Châteauneuf-du-Pape 2019/20,"Jaboulet is the name behind some of the Rhône Valley's most desired wines. The estate is today in the hands of talented young winemaker Caroline Frey. She's done the name proud with this terrific Châteauneuf-du-Pape. It's made from 50-year-old vines and has candied notes of raspberry, strawberry and soft spices. Decant for an hour before serving at room temperature with cassoulet.",£37.99 per bottle,75CL,"Mourvèdre, Syrah",Natural Cork,11.3,per bottle,Red,ABV 15.00%,Rhône,Bold & Spicy
Jaboulet 'Les Jumelles' Côte-Rôtie 2017/20,"Jaboulet is one of the most famous names in the Rhône. And Caroline Frey is one of France's most exciting young winemakers. With her in charge, they continue to create iconic Côte-Rôtie.This is deep and silky, with flavours of raspberries, violets and light spices, and a touch of vanilla on the finish. Decant for an hour and serve at room temperature with roast lamb or cellar for five years.",£66.99 per bottle,75CL,,Natural Cork,10.5,per bottle,Red,ABV 14.00%,Rhône,Bold & Spicy
"Jackson Estate 'Somerset' Pinot Noir 2015/16, Marlborough","Jackson Estate makes the Somerset from hand-picked grapes on a tiny vineyard that has heavy clay soils and a cool climate. The result is a Waihopai River Pinot Noir that takes on the best red Burgundy. But less than 300 cases are made only in the very best years. Expect an intense, concentrated red-fruit character, aromas of rose petal and violet and hints of spice.",£26.99 per bottle,75CL,,Screwcap,10.5,per bottle,Red,ABV 14.00%,Marlborough,Light & Elegant
"Jackson Estate Vintage Widow Pinot Noir 2016, Marlborough",,£22.99 per bottle,75CL,,Screwcap,10.1,per bottle,Red,ABV 13.50%,Marlborough,Light & Elegant
"Jas des Vignes Rosé Boxed Wine 2.25L, IGP Méditerranée","This stylish pink has its roots in the IGP Méditerranée region, which encompasses Provence and parts of the Rhône valley. This large area gives the pioneering winemaker plenty of choice. As a result, this is a Provence-style rosé at a snip of the usual asking price. It's dry, fresh and perfect with artichokes, bacon and garlic on a warm afternoon.",£24.99 each,2.25L,"Cinsault, Syrah",,0,each,Rosé,ABV 13.00%,Other France,Delicate & Dry
Jean Bon Merlot IGP Pays D'Oc 2021/22,"After a red for your Sunday roast? Look no further. Flavour-packed notes of blackberries, jam and redcurrants entwine with hints of regal spices and black pepper. Notes of cassis, raspberry and hints of black pepper compliment the palate while being serenaded by the aroma of sweet black berries. A warming veal dish accompanied by roasted mixed vegetables.",£8.99 per bottle,75CL,,Screwcap,10.1,per bottle,Red,ABV 13.50%,Languedoc-Roussillon,Smooth & Mellow
"Jean Sablenay Muscadet 2021/22, Loire","This Muscadet is made near the city of Nantes, where the Loire Valley meets the Atlantic coast. Because of this, its affinity with seafood is renowned across France and beyond. And you’ll be hard-pressed to find such a fine example at a better price than this. Delicate and herbaceous, this classic Muscadet has notes of lemon and lime with a fresh minerality. Pair it with any delicious white-fish dishes.",£8.99 per bottle,75CL,,Screwcap,9,per bottle,White,ABV 12.00%,Loire,Ripe & Rounded
Jean-Louis Chavy Puligny-Montrachet 2019/20,"The Chavy family have been in Puligny-Montrachet for almost 200 years. When their father, Gerard, passed on the vineyards, Alain and Jean-Louis split their inheritance in two. They've both very quickly carved their own way in this prestigious region, and Jean-Louis' style is a restrained use of oak and old vines – two techniques that let the natural flavours of the grapes shine. Expect flavours of white peach and citrus with hints of nuts and baked bread. It has a signature Puligny minerality which goes very well with shellfish.",£64.99 per bottle,75CL,,Natural Cork,10.1,per bottle,White,ABV 13.50%,Burgundy,Rich & Toasty
"Jim Barry 'McRae Wood' Shiraz 2013, Clare Valley","The late Jim Barry is a godfather of Australian wines. His Clare Valley estate is now in the hands of his grandson, Tom, and was named Winery of the Year 2020 by Australia’s leading wine critic, James Halliday. This wine is made partially from grapes declassified from one of Jim Barry's finest vineyards, The Armagh, where bottles usually fetch £100+. As a result, this has been the choice of some of the most prestigious Michelin-starred restaurants since its first vintage. Expect balanced aromas of black berries and pepper and flavours of dark fruit and savoury spices. Its refined structure and long finish make it an excellent choice for intensely-flavoured lamb shanks, drizzled in jus.",£37.99 per bottle,75CL,,Screwcap,10.5,per bottle,Red,ABV 14.00%,South Australia,Bold & Spicy
"Kendermanns Riesling Kabinett 2020/21, Germany",This vintage was actually rather good for Riesling as the golden autumn with warm day-time temperatures and cool nights allowed excellent flavour ripening whilst still retaining crisp acidity. This Riesling Kabinett has only 8.5% abv and is delightfully fragrant with aromas of vineyard peach with a touch of apple and grapefruit. On the palate it is off-dry to taste with a crisp and refreshing lick of acidity An enjoyable compliment to Thai green curry or any dishes containing a hit of spice.,£9.99 per bottle,75CL,,Screwcap,6.4,per bottle,White,ABV 8.50%,Germany,Fresh & Elegant 
Krug 2004/08 Champagne,"Krug Vintage Champagne is a blend of the most expressive wines from a single year, and it's aged for ten years in the cellar. A blend of Pinot Noir, Chardonnay and Meunier, it's fine and balanced, with notes of lemon, brioche and honey and an elegant finish.",£430.00 per bottle,75CL,"Pinot Noir, Pinot Meunier",Natural Cork,9.4,per bottle,White,ABV 12.50%,,Rich & Toasty
Krug Grande Cuvée Champagne,"In 1843, Joseph Krug had an aim: to craft the very best Champagne he could offer. This is the result. It's a blend of multiple vintages, made from only the best grapes, aged for up to seven years fine oak casks. Expect complex and elegant layers of honey, nuts and a balancing acidity.",£250.00 per bottle,75CL,"Pinot Noir, Pinot Meunier",Natural Cork,9.4,per bottle,White,ABV 12.50%,,Rich & Toasty
"Cave Vinicole de Hunawihr Kuhlmann-Platz Riesling, Alsace 2021/22","This cooperative was started by a group of small producers in Hunawihr in 1954, but today has member growers throughout the Alsace heartland. Winemaking is headed by Nicolas Garde, an Alsace-born winemaker, schooled in Burgundy and New Zealand. A pale straw yellow, this wine is a classic Alsace Riesling, showing ripe pear and peach fruit, braced by a steely acidity. Clean and pure on the palate, finishing with a citrussy freshness. Drink now or within the next 5 years, with seafood or creamy fish dishes.",£13.99 per bottle,75CL,,Screwcap,9.8,per bottle,White,ABV 13.00%,Alsace,Fresh & Elegant 
La Buxynoise Bourgogne Côte Chalonnaise 2020/21,"The Côte Chalonnaise in the southern part of the Côte d'Or is responsible for the majority of winemaking in Burgundy, where cooperatives of growers produce some of the most consistently good quality wines such as this Chardonnay, representing great value. With just 3% of the blend fermented in new oak, this is a fresh and crisp Chardonnay with a focus on golden apple and citrus flavours, with very subtle texture and toastiness. The perfect white wine to accompany cod or other white fish cooked 'au gratin'.",£13.99 per bottle,75CL,,Natural Cork,9.8,per bottle,White,ABV 13.00%,Burgundy,Ripe & Rounded
La Garnacha Salvaje del Moncayo 2019/20,"Northen Spain offers some of the most classic expressions of Garnacha (or Grenache), with this wine being a notable example, made from grapes harvested from ancient 'wild' bush vines in the mountainous Moncayo end of the Ebro Valley. Powerful aromas of wild berries and tobacco leaf are tempered by a sense of freshness and floral edges. The middleweight palate has ripe red fruit and a Burgundian minerality, with subtle French oak. Drink with barbecued red meats or spicy chorizo.",£11.49 per bottle,75CL,,Natural Cork,10.9,per bottle,Red,ABV 14.50%,Aragon,Bold & Spicy
"La Garnatxa Fosca 2020/21 Proyecto Garnachas de España, Priorat","Proyecto Garnachas de España is a project led by Raul Acha to protect Spain's old Garnacha vines. To craft this red, he's used vines over 60 years old, from slate-rich soils, in the acclaimed region of Priorat. The combination of old vines and slate soils have created a red with complex notes of dark cherry, cedar, herb and 'crushed rock' minerality.",£17.99 per bottle,75CL,,Natural Cork,11.3,per bottle,Red,ABV 15.00%,Catalunya,Bold & Spicy
La Gioiosa Ca Divo Spumante,"When it comes to classic Italian fizz, La Gioiosa is a name you can rely on for quality. They're behind some of the most popular bottles in our Prosecco collection, and they bring all the same expertise to this vibrant sparkling wine. It's made in the same style as their signature Prosecco, but with a different blend of white grapes. You'll find it fresh and fruity with crisp apple and pear flavours. The perfect apéritif for any occasion.",£9.49 per bottle,75CL,"Pinot Blanc, Chardonnay",Natural Cork,8.3,per bottle,White,ABV 11.00%,,Light & Refreshing
La Serena Brunello di Montalcino 2016/17,"The La Serena estate is just nine hectares. But what you'll find there is excellent an organic  Brunello. It's soft and balanced, with flavours of black fruit and spice. Decant for an hour and serve at room temperature with a roast leg of lamb. Drink now.",£44.99 per bottle,75CL,,Natural Cork,10.9,per bottle,Red,ABV 14.50%,Tuscany,Savoury & Full Bodied
"De Forville Langhe Nebbiolo 2020/21, Piedmont",The De Forville domaine covers ten hectares over two Piedmont villages and their production is now almost entirely bottled on the estate. Nebbiolo is a Piedmont stalwart and most famous for its role in Barolo. A Nebbiolo with striking ruby colour and a nose that displays bright red fruits with hints of spice. This complexity is carried onto the palate with racy acidity and oak bringing freshness and structure. The soft tannins make this wine a viable option to open now. Give it time in the decanter and serve with fatty meats or creamy cheese.,£13.99 per bottle,75CL,,Natural Cork,10.5,per bottle,Red,ABV 14.00%,Piedmont,Light & Elegant
Laurent-Perrier 'Grand Siècle' Champagne,"Laurent Perrier's Non-Vintage Deluxe Cuvée is a blend of a number of vintages and is a beautifully elegant, fresh, creamy style. Gloriously fine bubbles and a slight nuttiness complete a sophisticated experience all-round.",£199.99 per bottle,75CL,Pinot Noir,Natural Cork,9,per bottle,White,ABV 12.00%,,Rich & Toasty
"Le Bois Doré Chenin Blanc 2021/22, Saumur","Eric Laurent, one of Saumur's top winemakers, makes Le Bois Doré from Chenin Blanc on 30-year-old vines. The wine spends time in contact with texture-building grape skins, resulting in a mouth-filling white that bursts with grapefruit, pineapple and honeycomb notes.",£11.99 per bottle,75CL,,Screwcap,9.8,per bottle,White,ABV 13.00%,Loire,Crisp & Zesty
Le Relais du Roi Cairanne 2019/20,"If you like robust Rhône reds, but not the prices of the more expensive areas, like Châteauneuf-du-Pape, Cairanne is a fantastic option. The blends made here were traditionally labelled 'Côtes du Rhône Villages Cairanne'. But as the region's brilliance became undeniable, it was given prestigious Cru status. This is made there by born-and-bred Rhône expert Julien Dugas from the ripest Grenache, Syrah and Mourvèdre grapes. And his expertise shows in every sip. Expect flavours of black plum, blackberry, liquorice and woody spice. Try it with lamb kebabs.",£12.99 per bottle,75CL,Syrah,Natural Cork,10.9,per bottle,Red,ABV 14.50%,Rhône,Bold & Spicy
"Le Voyage d'Odette Sauvignon Blanc 2022, France","When it comes to choosing the perfect party wines for summer, you’ll want an easy-drinking Sauvignon Blanc on hand. This bright French expression, made from a number of selected vineyards, is just the ticket. Expect fresh flavours of citrus, exotic fruit and white flowers. Enjoy a glass alongside barbecued white fish dishes.",£9.99 per bottle,75CL,,Screwcap,9,per bottle,White,ABV 12.00%,Loire,Fresh & Elegant 
Léon Perdigal Côtes-du-Rhône 2021/22,"Léon Perdigal was the legendary first cellar master at Ogier’s famous Châteauneuf-du-Pape cellars, founded in 1859. For 155 years, they have been making top-drawer Châteauneuf, and their Léon Perdigal label, named for that cellar master, makes equally delicious Côtes de Rhône. It’s a blend of Grenache and Syrah from sites across the Southern Rhône – a perfect balance of jammy red fruit and classic Syrah spice. Expect a juicy wine with peppery, woodland herb aromas which are distinctively Côtes-du-Rhône. The red-fruit, slightly spicy flavours are excellent with a range of foods – making it perfect for buffets and cold meat platters.",£9.99 per bottle,75CL,"Syrah, Carignan, Mourvèdre",Natural Cork,10.5,per bottle,Red,ABV 14.00%,Rhône,Soft & Fruity
Les Frères Lumière Côtes du Rhône 2020/21,"The Rhône Valley was the birthplace of Syrah, and the first wine producing region in France. However, did you know it was also the inspiration for cinema? The Lumière Brothers were pioneers of modern cinema; born in the Rhône Valley, they filmed some of the first moving pictures there. This blockbuster raspberry-and-pepper flavoured red is a homage to this special region that gave us both wine and cinema.",£8.99 per bottle,75CL,Syrah,Natural Cork,10.1,per bottle,Red,ABV 13.50%,Rhône,Soft & Fruity
Les Frères Lumière Côtes du Rhône Rosé 2021/22,"This delicious rosé was produced by Union des Vignerons des Côtes du Rhône, the largest wine cooperative in the Southern Rhone. Their vines cover a whopping 12,000 hectares, including many of the southern Rhone's crus and villages. Because of this, they get their pick of the best grapes and don't make any compromises on quality. This rose is a classic blend of Grenache, Syrah and Cinsault that has crisp, delicate notes of red fruit and peach, and a streak of minerality. We can't think of a better pairing for shellfish.",£8.99 per bottle,75CL,"Cinsault, Syrah",Synthetic Cork,9.8,per bottle,Rosé,ABV 13.00%,Rhône,Ripe & Fruity
López de Haro Rioja Blanco 2021/22,"White Rioja fell out of fashion, but it’s made a comeback and with wines like this it’s easy to see why. It’s evidence that sometimes, patience wins the game. And we’ve had to wait an awful long time for this. It’s made using grapes from vines up to an extraordinary eighty years old. Vines of this age yield really tiny portions of grapes so all the flavours are intensified – you can taste it in this deeply aromatic wine. It’s nutty, rich and full with a really moreish creamy texture. It’s a heady wine, packed with the flavours of ripe yellow fruits – but it’s also nice and crisp. Think pear, quince and honey, with a citrusy backbone. This is wonderful with salty, tapas-style food like salted almonds or Serrano ham.",£10.99 per bottle,75CL,,Screwcap,9.4,per bottle,White,ABV 12.50%,Rioja And Navarra,Ripe & Rounded
Louis Jadot 'Les Roches Rouges' Mâcon Rouge 2021,"The gentle, rolling hills of the Mâconnais region in the south of Burgundy makes fresh and fruity wines accessible in their youth. This wine is sourced from several vineyard sites to create a light and supple blend of around 80% Gamay and 20% Pinot Noir. An enticing nose showing subtle hints of redcurrant and raspberry, with a fruity, well-balanced palate and a fresh finish. Best consumed while fresh and young, making the perfect red for white meat.",£16.99 per bottle,75CL,Pinot Noir,Natural Cork,9.8,per bottle,Red,ABV 13.00%,Burgundy,Light & Elegant
Louis Latour 'Grand Ardèche' Chardonnay 2020/21,"The Ardèche is a bit of an insider secret. Only the most savvy know it’s the source of some seriously delicious, good value wine. Louis Latour are Burgundy masters, and they’ve brought their considerable skill to this out-of-the-way valley to make wines which are fantastic value for money. If you like rich, creamy Burgundian whites from the Côte d'Or or Mâcon, this is an absolute must-try. It’s juicy and fresh, with flavours of citrus and ripe orchard fruits. 10 months of barrel ageing adds spiciness and a deliciously buttery texture. Wonderful with roast pork, creamy mash and apple sauce.",£16.99 per bottle,75CL,,Natural Cork,10.1,per bottle,White,ABV 13.50%,Other France,Rich & Toasty
